first_name,last_name,doi,putcode,source,type,journal,volume,number,pages,issn,publisher,title,publication_year,romeo_colour,url_for_pdf,times_cited,authors
Yannick,Huot,10.1086/133893,45303410,Scopus - Elsevier,journal-article,Publications of the Astronomical Society of the Pacific,109,733,319-325,0004-6280,IOP Publishing,"Gallium liquid mirrors: Basic technology, optical-shop tests and observations",1997,green,http://iopscience.iop.org/article/10.1086/133893/pdf,8,"Borra, E.F.*Tremblay, G.*Huot, Y.*Gauvin, J."
Philippe,Juneau,10.1007/s10750-018-3753-2,53913712,Scopus - Elsevier,journal-article,Hydrobiologia,829,1,133-142,0018-8158,Springer Science and Business Media LLC,Application of fluorometry (Phyto-PAM) for assessing food selection by cladocerans,2019,green,,2,"Chesney, T.*Sastri, A.R.*Beisner, B.E.*Nandini, S.*Sarma, S.S.S.*Juneau, P."
Philippe,Juneau,10.1016/j.envpol.2018.09.121,53913703,Scopus - Elsevier,journal-article,Environmental Pollution,,,,0269-7491,Elsevier BV,Impacts of hydroxyphenylpyruvate dioxygenase (HPPD) inhibitor (mesotrione) on photosynthetic processes in Chlamydomonas reinhardtii,2019,green,,1,"Xu, K.*Racine, F.*He, Z.*Juneau, P."
Philippe,Juneau,10.1016/j.chemosphere.2017.10.128,53913739,Scopus - Elsevier,journal-article,Chemosphere,,,,0045-6535,Elsevier BV,Effects of low concentrations of glyphosate-based herbicide factor 540<sup>®</sup> on an agricultural stream freshwater phytoplankton community,2018,green,,13,"Smedbol, É.*Gomes, M.P.*Paquet, S.*Labrecque, M.*Lepage, L.*Lucotte, M.*Juneau, P."
Philippe,Juneau,10.1016/j.biotechadv.2018.03.018,53913673,Scopus - Elsevier,journal-article,Biotechnology Advances,36,4,1194-1206,0734-9750,Elsevier BV,Electron transport chains in organohalide-respiring bacteria and bioremediation implications,2018,green,,10,"Wang, S.*Qiu, L.*Liu, X.*Xu, G.*Siegert, M.*Lu, Q.*Juneau, P.*Yu, L.*Liang, D.*He, Z.*Qiu, R."
Philippe,Juneau,10.1007/s00284-018-1516-y,53913722,Scopus - Elsevier,journal-article,Current Microbiology,75,9,1240-1246,0343-8651,Springer Science and Business Media LLC,Necessary Sequencing Depth and Clustering Method to Obtain Relatively Stable Diversity Patterns in Studying Fish Gut Microbiota,2018,green,http://ir.ihb.ac.cn/bitstream/342005/30559/1/Xiao-2018-Necessary%20Sequencing%20Depth%20and%20Clust.pdf,,"Xiao, F.*Yu, Y.*Li, J.*Juneau, P.*Yan, Q."
Philippe,Juneau,10.1007/s00248-018-1222-0,53913682,Scopus - Elsevier,journal-article,Microbial Ecology,,,,0095-3628,Springer Science and Business Media LLC,"The Impact of Anthropogenic Disturbance on Bacterioplankton Communities During the Construction of Donghu Tunnel (Wuhan, China)",2018,green,,,"Xiao, F.*Bi, Y.*Li, X.*Huang, J.*Yu, Y.*Xie, Z.*Fang, T.*Cao, X.*He, Z.*Juneau, P.*Yan, Q."
Philippe,Juneau,10.1016/j.jhazmat.2017.04.010,53913685,Scopus - Elsevier,journal-article,Journal of Hazardous Materials,,,,0304-3894,Elsevier BV,Comments on the “Glyphosate herbicide residue determination in samples of environmental importance using spectrophotometric method”,2017,green,,,"Gomes, M.P.*Maccario, S.*Le Manac'h, S.G.*Lucotte, M.*Moingt, M.*Paquet, S.*Labrecque, M.*Juneau, P."
Philippe,Juneau,10.1111/jpy.12517,53913692,Scopus - Elsevier,journal-article,Journal of Phycology,53,2,425-436,0022-3646,Wiley,Different physiological responses of cyanobacteria to ultraviolet-B radiation under iron-replete and iron-deficient conditions: Implications for underestimating the negative effects of UV-B radiation,2017,yellow,,4,"Li, Z.-K.*Dai, G.-Z.*Juneau, P.*Qiu, B.-S."
Philippe,Juneau,10.1016/j.envpol.2016.09.087,53913705,Scopus - Elsevier,journal-article,Environmental Pollution,,,,0269-7491,Elsevier BV,Effects of glyphosate acid and the glyphosate-commercial formulation (Roundup) on Dimorphandra wilsonii seed germination: Interference of seed respiratory metabolism,2017,green,,12,"Gomes, M.P.*da Silva Cruz, F.V.*Bicalho, E.M.*Borges, F.V.*Fonseca, M.B.*Juneau, P.*Garcia, Q.S."
